# a, b, af, bf, as, bs, afs, bfs, alfa1, beta1, alfa2, beta2, vol, fibstretch 
1.29541991e+02,  5.78284093e+00,  1.20116734e+02,  1.16296169e+01,  3.66097916e+02,  5.37348909e+00,  3.56549850e+02,  1.05727790e+01,  1.19990891e+00,  4.41536699e+00,  7.91093012e-03,  4.38239444e+01,  1.09120967e+02,  1.14201053e+00
1.22192790e+02,  6.80490546e+00,  1.14844537e+02,  1.12575894e+01,  3.54712298e+02,  5.73518698e+00,  3.52618218e+02,  9.72108568e+00,  1.42782503e+00,  4.52749499e+00,  7.63809726e-03,  4.54953645e+01,  1.06659139e+02,  1.13741209e+00
1.71031685e+02,  4.39076501e+00,  1.42941924e+02,  1.32798225e+01,  3.12677583e+02,  4.36632367e+00,  3.76753207e+02,  1.30772732e+01,  1.01348621e+00,  4.21433249e+00,  9.33206366e-03,  4.09654339e+01,  1.12014291e+02,  1.14782947e+00
1.14733719e+02,  7.35005165e+00,  8.37869545e+01,  1.17894947e+01,  3.08759279e+02,  5.33191871e+00,  4.44862278e+02,  1.29340905e+01,  1.42757172e+00,  4.73044686e+00,  7.39732441e-03,  4.55184067e+01,  1.06353466e+02,  1.13816987e+00
1.30760795e+02,  4.26082273e+00,  1.32005832e+02,  1.14512966e+01,  4.65230610e+02,  6.44589146e+00,  2.93786481e+02,  8.70733604e+00,  1.19408292e+00,  4.50045481e+00,  5.81470620e-03,  4.67020469e+01,  1.08946793e+02,  1.14007519e+00
1.18456195e+02,  5.57468134e+00,  1.16933634e+02,  1.22677678e+01,  4.34552063e+02,  4.42933455e+00,  4.69178367e+02,  1.15144865e+01,  1.10768382e+00,  4.30104047e+00,  9.17378939e-03,  4.16728914e+01,  1.10512171e+02,  1.14575834e+00
1.94668193e+02,  5.35279752e+00,  1.36134192e+02,  1.40459398e+01,  2.88116536e+02,  6.18155599e+00,  3.91398723e+02,  1.32629416e+01,  1.53814120e+00,  4.32229969e+00,  8.99176303e-03,  4.49320546e+01,  1.05983055e+02,  1.13492657e+00
1.86560716e+02,  5.04878876e+00,  8.52383447e+01,  1.00742619e+01,  4.70562905e+02,  4.27010645e+00,  3.53195093e+02,  1.05588665e+01,  1.06290880e+00,  3.93706195e+00,  1.33357059e-02,  3.80122385e+01,  1.12272347e+02,  1.14952821e+00
1.21984163e+02,  4.24949002e+00,  1.13201666e+02,  9.11466080e+00,  3.72083247e+02,  4.34814564e+00,  3.62827399e+02,  1.31401943e+01,  6.64916129e-01,  4.31606169e+00,  7.79942298e-03,  3.95397309e+01,  1.18061327e+02,  1.15887585e+00
1.26303231e+02,  6.32478633e+00,  1.37116426e+02,  1.48926647e+01,  3.69871079e+02,  5.99958152e+00,  4.10478871e+02,  1.13543339e+01,  1.67792171e+00,  4.53248229e+00,  7.19942492e-03,  4.74172042e+01,  1.04637506e+02,  1.13279557e+00
1.20968215e+02,  7.39404191e+00,  9.97156197e+01,  1.01072642e+01,  3.86527784e+02,  4.11144306e+00,  3.69110150e+02,  1.20839642e+01,  1.41918066e+00,  4.52753058e+00,  8.88950598e-03,  4.35890785e+01,  1.06739711e+02,  1.13991063e+00
1.78395538e+02,  7.72896928e+00,  1.49104881e+02,  1.10693072e+01,  4.77123647e+02,  3.96452091e+00,  3.95083027e+02,  1.34046355e+01,  2.19437208e+00,  4.12695229e+00,  1.34580422e-02,  4.36550490e+01,  1.01674549e+02,  1.12887835e+00
1.10156695e+02,  5.73165276e+00,  1.18748947e+02,  1.50463687e+01,  4.58170647e+02,  4.90147887e+00,  5.26585882e+02,  9.88451655e+00,  1.36948076e+00,  4.42948763e+00,  7.80566162e-03,  4.47128905e+01,  1.07334475e+02,  1.13926907e+00
1.41983525e+02,  6.74906199e+00,  9.84055200e+01,  1.19279648e+01,  4.57583924e+02,  3.92801522e+00,  3.88733960e+02,  1.09068879e+01,  1.44462634e+00,  4.24875130e+00,  1.10934319e-02,  4.17141074e+01,  1.06990280e+02,  1.14051657e+00
1.11771594e+02,  4.86103639e+00,  1.49627852e+02,  1.26649763e+01,  4.12961398e+02,  3.87213731e+00,  4.33674430e+02,  8.08144450e+00,  9.53219919e-01,  4.23398797e+00,  8.93848428e-03,  4.07060578e+01,  1.12885959e+02,  1.15013645e+00
1.85235013e+02,  7.35889511e+00,  1.29061943e+02,  1.01499690e+01,  4.55449353e+02,  6.29120638e+00,  3.20650848e+02,  8.74891227e+00,  2.16841693e+00,  4.15437449e+00,  1.11074030e-02,  4.58632199e+01,  1.01818965e+02,  1.12701521e+00
1.65134840e+02,  5.76052538e+00,  1.26908958e+02,  8.81570913e+00,  3.18791244e+02,  4.98018349e+00,  3.35731319e+02,  8.45878033e+00,  1.12112156e+00,  4.15443327e+00,  1.06921131e-02,  4.07690556e+01,  1.10776201e+02,  1.14501202e+00
1.53277985e+02,  7.60934419e+00,  9.26048701e+01,  1.20182808e+01,  4.71962373e+02,  4.95737859e+00,  2.92514159e+02,  9.62584660e+00,  1.97416877e+00,  4.35062186e+00,  9.79460130e-03,  4.53934746e+01,  1.02859918e+02,  1.13156002e+00
1.90726040e+02,  4.60158797e+00,  1.47301697e+02,  1.21607831e+01,  3.02083737e+02,  3.61604048e+00,  3.65309266e+02,  8.80029778e+00,  9.71438013e-01,  3.95962941e+00,  1.30380197e-02,  3.75376899e+01,  1.13612379e+02,  1.15215807e+00
1.57248044e+02,  5.78643590e+00,  1.16688768e+02,  1.26026819e+01,  4.05127538e+02,  5.71735055e+00,  3.23125790e+02,  1.15474968e+01,  1.45900814e+00,  4.29734091e+00,  8.89898191e-03,  4.43117851e+01,  1.06742797e+02,  1.13729206e+00
1.32843969e+02,  7.26229067e+00,  1.04740171e+02,  1.49266921e+01,  4.41395385e+02,  5.41513366e+00,  4.90005529e+02,  1.46510628e+01,  1.92978649e+00,  4.44234946e+00,  9.26392548e-03,  4.59701879e+01,  1.03056364e+02,  1.13110374e+00
1.48410748e+02,  4.84065131e+00,  1.32917123e+02,  1.21463901e+01,  4.18337483e+02,  5.12000221e+00,  3.45338119e+02,  9.17079790e+00,  1.16451980e+00,  4.25707212e+00,  8.57413188e-03,  4.28032043e+01,  1.09894636e+02,  1.14337257e+00
1.93917104e+02,  7.02995487e+00,  8.99267783e+01,  1.48995638e+01,  3.07734882e+02,  3.84251266e+00,  3.07281980e+02,  9.83713934e+00,  1.84365691e+00,  4.27779060e+00,  1.14963685e-02,  4.30864988e+01,  1.03774958e+02,  1.13480509e+00
1.91874569e+02,  6.74076677e+00,  9.59381142e+01,  1.35572916e+01,  2.65676686e+02,  5.57046074e+00,  3.04579662e+02,  1.28181529e+01,  1.76643941e+00,  4.34735162e+00,  9.98213146e-03,  4.45820527e+01,  1.04236159e+02,  1.13356940e+00
1.41022011e+02,  4.42851191e+00,  9.71165836e+01,  1.10550335e+01,  2.97623750e+02,  3.81782696e+00,  3.18729924e+02,  9.56948482e+00,  6.81206552e-01,  4.32510618e+00,  8.10635119e-03,  3.89378428e+01,  1.17648762e+02,  1.16036746e+00
1.51995776e+02,  7.71274515e+00,  9.32747429e+01,  1.43543900e+01,  3.50867360e+02,  6.56886057e+00,  4.74193107e+02,  9.64827661e+00,  2.22662384e+00,  4.56365761e+00,  8.44245529e-03,  4.81440156e+01,  1.01328156e+02,  1.12703204e+00
1.36340305e+02,  4.49228781e+00,  9.19309681e+01,  8.38827111e+00,  2.88840563e+02,  6.49794716e+00,  4.03285468e+02,  1.44646526e+01,  7.39231543e-01,  4.59708438e+00,  6.18225109e-03,  4.31824712e+01,  1.15229263e+02,  1.15077604e+00
1.71110215e+02,  4.99601683e+00,  1.27397178e+02,  1.03019747e+01,  2.93688920e+02,  5.58809727e+00,  4.06735694e+02,  1.34231401e+01,  1.05665650e+00,  4.26133356e+00,  9.33836181e-03,  4.17872837e+01,  1.11277667e+02,  1.14480883e+00
1.56441140e+02,  4.89691372e+00,  8.89569573e+01,  1.52719771e+01,  3.76683895e+02,  3.86034558e+00,  4.38509732e+02,  1.22843744e+01,  1.05892591e+00,  4.23980693e+00,  9.64397331e-03,  4.04786458e+01,  1.11320588e+02,  1.14884823e+00
1.35695206e+02,  5.77053905e+00,  1.00856525e+02,  1.21034299e+01,  4.08397602e+02,  3.83088627e+00,  3.95364496e+02,  1.10273058e+01,  1.08780247e+00,  4.22252837e+00,  1.04970246e-02,  4.00695147e+01,  1.11012624e+02,  1.14819857e+00
1.47560657e+02,  6.07517422e+00,  1.32899311e+02,  1.40382144e+01,  2.87737794e+02,  6.52917693e+00,  5.12313765e+02,  1.45726475e+01,  1.59422207e+00,  4.55719574e+00,  7.51813261e-03,  4.69661236e+01,  1.05221943e+02,  1.13309221e+00
1.43198158e+02,  5.81351900e+00,  9.28069100e+01,  1.46141824e+01,  2.85578992e+02,  4.99998911e+00,  4.29145275e+02,  1.04235894e+01,  1.22106720e+00,  4.53669630e+00,  7.60315516e-03,  4.39561681e+01,  1.08621456e+02,  1.14254825e+00
1.20292874e+02,  4.52734934e+00,  1.03982502e+02,  9.79657909e+00,  3.78153902e+02,  6.15966767e+00,  4.70858019e+02,  1.17996116e+01,  8.79052725e-01,  4.59178407e+00,  6.11417666e-03,  4.42303092e+01,  1.12824963e+02,  1.14720220e+00
1.76417400e+02,  5.74791291e+00,  9.88704446e+01,  1.23923817e+01,  4.74569074e+02,  4.79111580e+00,  4.14708174e+02,  1.41498148e+01,  1.42976186e+00,  4.06830802e+00,  1.23968106e-02,  4.10463260e+01,  1.07461405e+02,  1.13977223e+00
1.89781340e+02,  5.23074098e+00,  1.08501365e+02,  1.45645413e+01,  4.16648881e+02,  5.88218820e+00,  3.11022274e+02,  1.06502065e+01,  1.58721929e+00,  4.25557184e+00,  9.06101835e-03,  4.47139153e+01,  1.05673175e+02,  1.13542333e+00
1.41394012e+02,  6.62488605e+00,  9.06424418e+01,  1.38269804e+01,  2.85209732e+02,  3.82543536e+00,  4.20462024e+02,  8.54990540e+00,  1.29555557e+00,  4.47979567e+00,  9.21545105e-03,  4.23507973e+01,  1.07996747e+02,  1.14324051e+00
1.56271561e+02,  4.91988913e+00,  1.14215313e+02,  8.92006215e+00,  4.41591181e+02,  6.25903792e+00,  3.58086480e+02,  9.89489361e+00,  1.09056349e+00,  4.21205114e+00,  8.84087433e-03,  4.25173447e+01,  1.10962717e+02,  1.14364559e+00
1.72779376e+02,  5.38711791e+00,  1.32644956e+02,  8.77873853e+00,  3.35865530e+02,  4.66844273e+00,  3.89409812e+02,  1.23502355e+01,  1.05316437e+00,  4.03967866e+00,  1.22058231e-02,  3.92136364e+01,  1.12070819e+02,  1.14726351e+00
1.68209083e+02,  7.21697922e+00,  1.50569487e+02,  1.37605719e+01,  4.34221349e+02,  6.05043198e+00,  4.81388005e+02,  1.42938042e+01,  2.26462250e+00,  4.22074702e+00,  1.13256181e-02,  4.60500846e+01,  1.01242760e+02,  1.12593497e+00
1.29055344e+02,  4.96532038e+00,  1.05586037e+02,  1.18665582e+01,  4.39113852e+02,  5.93212698e+00,  4.88320900e+02,  1.26417191e+01,  1.16740174e+00,  4.47456786e+00,  7.17469357e-03,  4.46870221e+01,  1.09318951e+02,  1.14148237e+00
1.38789357e+02,  6.07069306e+00,  1.42305192e+02,  1.16242572e+01,  4.81360776e+02,  5.41161602e+00,  3.70571858e+02,  1.38184234e+01,  1.49719224e+00,  4.19369995e+00,  1.00586707e-02,  4.35636382e+01,  1.06584130e+02,  1.13664149e+00
1.45609905e+02,  6.10987937e+00,  8.63093580e+01,  1.53250960e+01,  2.98471877e+02,  5.21265367e+00,  4.46652977e+02,  8.15313273e+00,  1.37296777e+00,  4.55562541e+00,  7.62092768e-03,  4.47754858e+01,  1.07090245e+02,  1.13971487e+00
1.82281950e+02,  7.79337526e+00,  1.24346935e+02,  1.12763974e+01,  4.16338061e+02,  5.20761306e+00,  4.77024654e+02,  9.84637191e+00,  2.29608115e+00,  4.23347648e+00,  1.21021328e-02,  4.52296818e+01,  1.01080583e+02,  1.12677625e+00
1.83337332e+02,  6.43405265e+00,  1.14828769e+02,  1.02099860e+01,  3.62875353e+02,  6.30370576e+00,  4.64628912e+02,  1.41179361e+01,  1.64568044e+00,  4.18325741e+00,  1.12711513e-02,  4.37189156e+01,  1.05344072e+02,  1.13323079e+00
1.73609542e+02,  6.08002806e+00,  8.74254048e+01,  1.51099272e+01,  3.36993713e+02,  6.15134524e+00,  3.03253766e+02,  1.33905239e+01,  1.66161435e+00,  4.45535998e+00,  7.98294871e-03,  4.61202871e+01,  1.04845778e+02,  1.13422040e+00
1.40197900e+02,  5.83864236e+00,  1.17520185e+02,  1.50027472e+01,  2.83588612e+02,  4.15611443e+00,  3.43510567e+02,  9.99498104e+00,  1.18996847e+00,  4.41761827e+00,  8.42282349e-03,  4.26932339e+01,  1.09238315e+02,  1.14434543e+00
1.60617346e+02,  4.85113549e+00,  1.21344930e+02,  1.22230325e+01,  2.96038073e+02,  5.16833469e+00,  3.33657264e+02,  8.78325989e+00,  1.04002350e+00,  4.37926444e+00,  7.81732332e-03,  4.27708293e+01,  1.11149905e+02,  1.14596201e+00
1.42325851e+02,  6.24079791e+00,  9.27878952e+01,  1.31353936e+01,  3.46644499e+02,  3.67368182e+00,  4.55180104e+02,  1.34355378e+01,  1.20478048e+00,  4.32146871e+00,  1.06061137e-02,  4.07159026e+01,  1.09311339e+02,  1.14541963e+00
1.28392681e+02,  6.50624146e+00,  9.09114244e+01,  1.40963183e+01,  4.26340807e+02,  5.02823918e+00,  5.29672067e+02,  1.15174787e+01,  1.48423377e+00,  4.43502455e+00,  9.01252078e-03,  4.40224519e+01,  1.06308699e+02,  1.13796666e+00
1.62175270e+02,  6.56854061e+00,  1.31704812e+02,  1.46434522e+01,  3.82914429e+02,  5.82637229e+00,  4.90618261e+02,  8.34167084e+00,  1.89339921e+00,  4.31456403e+00,  9.84129860e-03,  4.55761605e+01,  1.03383176e+02,  1.13075429e+00
1.20793455e+02,  6.88152772e+00,  1.23456060e+02,  1.41568430e+01,  3.76198522e+02,  4.74989011e+00,  4.51338050e+02,  1.18130102e+01,  1.54981721e+00,  4.46546202e+00,  8.71707190e-03,  4.46614590e+01,  1.05721622e+02,  1.13673642e+00
1.52794346e+02,  5.93946280e+00,  1.05036552e+02,  1.19097878e+01,  3.61084355e+02,  4.08019608e+00,  3.93572688e+02,  9.04191737e+00,  1.18719433e+00,  4.21957863e+00,  1.08300820e-02,  4.05554108e+01,  1.09768452e+02,  1.14543442e+00
1.16939012e+02,  4.41695111e+00,  1.36808143e+02,  1.52812346e+01,  3.07657812e+02,  6.39186944e+00,  3.44800701e+02,  8.53003586e+00,  1.25882960e+00,  4.91215700e+00,  3.88704322e-03,  5.07180863e+01,  1.07488863e+02,  1.13727828e+00
1.16107026e+02,  6.95544281e+00,  1.31233949e+02,  1.38670459e+01,  4.57821038e+02,  3.64585279e+00,  3.59905868e+02,  1.33971411e+01,  1.49030374e+00,  4.31130325e+00,  1.00849847e-02,  4.27221264e+01,  1.06460245e+02,  1.13948646e+00
1.55463561e+02,  5.05123964e+00,  1.50481725e+02,  1.05789867e+01,  4.23234460e+02,  6.66335133e+00,  4.51517239e+02,  1.18729982e+01,  1.36096898e+00,  4.26963637e+00,  8.74196415e-03,  4.46326738e+01,  1.07699566e+02,  1.13664178e+00
1.20022221e+02,  7.16861333e+00,  8.36633569e+01,  1.48864304e+01,  3.62530105e+02,  5.49000866e+00,  4.79163314e+02,  1.22036425e+01,  1.64975332e+00,  4.66131917e+00,  7.48588959e-03,  4.64236916e+01,  1.04716184e+02,  1.13494300e+00
1.25055952e+02,  6.26543892e+00,  8.35588813e+01,  1.11577036e+01,  4.46182550e+02,  4.10029729e+00,  2.87903293e+02,  1.12498590e+01,  1.13525764e+00,  4.33068528e+00,  9.24226786e-03,  4.13882409e+01,  1.10112508e+02,  1.14674139e+00
1.72157805e+02,  6.52344846e+00,  1.32028866e+02,  9.11514238e+00,  4.52732315e+02,  3.62468467e+00,  4.90079583e+02,  1.24539490e+01,  1.43868819e+00,  3.99975079e+00,  1.47237530e-02,  3.96295293e+01,  1.07528598e+02,  1.14027193e+00
1.63326172e+02,  4.55373757e+00,  1.02591358e+02,  1.21428507e+01,  3.85837123e+02,  5.30764717e+00,  3.32751786e+02,  1.44024270e+01,  1.06801899e+00,  4.34030221e+00,  7.94712109e-03,  4.28049375e+01,  1.10874571e+02,  1.14535700e+00
1.87490871e+02,  6.84009745e+00,  1.29385763e+02,  1.53710418e+01,  4.23933734e+02,  6.65396514e+00,  3.10093952e+02,  1.45537114e+01,  2.36774757e+00,  4.25497840e+00,  9.99028546e-03,  4.74596501e+01,  1.00686191e+02,  1.12490302e+00
1.58845471e+02,  6.61001414e+00,  1.07036587e+02,  8.42332220e+00,  2.61924887e+02,  5.71202136e+00,  3.08304751e+02,  1.13694855e+01,  1.31282977e+00,  4.38898021e+00,  8.98541152e-03,  4.36065527e+01,  1.08010708e+02,  1.13957107e+00
1.77062105e+02,  6.62239321e+00,  1.25930304e+02,  1.32874493e+01,  2.67203530e+02,  5.62074023e+00,  4.19173308e+02,  1.44124811e+01,  1.70676272e+00,  4.34543355e+00,  1.01427410e-02,  4.44680326e+01,  1.04664323e+02,  1.13350512e+00
1.82972965e+02,  4.92348782e+00,  1.28613343e+02,  1.42470989e+01,  3.89845803e+02,  4.07911034e+00,  4.92082260e+02,  1.19257737e+01,  1.23893727e+00,  4.02667013e+00,  1.25496374e-02,  3.97357606e+01,  1.09618333e+02,  1.14423297e+00
1.33573059e+02,  7.27901279e+00,  1.21226983e+02,  1.13635143e+01,  4.15366610e+02,  5.17228695e+00,  4.24445598e+02,  7.96971806e+00,  1.69427767e+00,  4.39316651e+00,  9.43313758e-03,  4.48328554e+01,  1.04704782e+02,  1.13424049e+00
1.28455032e+02,  4.53360660e+00,  1.44658801e+02,  1.50847702e+01,  3.22279422e+02,  3.84249456e+00,  5.18320953e+02,  1.08555196e+01,  9.55993140e-01,  4.34409071e+00,  8.13459970e-03,  4.16607475e+01,  1.12456234e+02,  1.14898843e+00
1.66774448e+02,  7.00232097e+00,  1.27517023e+02,  1.43800123e+01,  2.72772876e+02,  5.10688976e+00,  4.13456656e+02,  1.34400028e+01,  1.81730684e+00,  4.39904200e+00,  9.97753263e-03,  4.48470287e+01,  1.03830121e+02,  1.13273792e+00
1.68640537e+02,  7.30380980e+00,  1.48959904e+02,  1.02918484e+01,  4.83429769e+02,  5.45239861e+00,  5.01445407e+02,  1.26742504e+01,  2.02734404e+00,  4.11184662e+00,  1.27597247e-02,  4.40818497e+01,  1.02693931e+02,  1.12890924e+00
1.47634182e+02,  7.25329223e+00,  1.00518998e+02,  1.20296188e+01,  2.63813517e+02,  4.16252774e+00,  3.66333534e+02,  1.32181070e+01,  1.53478332e+00,  4.53785962e+00,  9.18779465e-03,  4.38693463e+01,  1.05755253e+02,  1.13808187e+00
1.76404730e+02,  7.69041817e+00,  1.26155565e+02,  1.22902423e+01,  3.72743562e+02,  5.99332134e+00,  3.64922189e+02,  8.63637910e+00,  2.29931258e+00,  4.32095565e+00,  1.03129109e-02,  4.67320520e+01,  1.01038832e+02,  1.12629953e+00
1.46787509e+02,  6.73074331e+00,  1.35404820e+02,  1.06918272e+01,  4.64438245e+02,  5.16264584e+00,  4.51332337e+02,  1.14294011e+01,  1.61389695e+00,  4.18220097e+00,  1.12628112e-02,  4.31310880e+01,  1.05607312e+02,  1.13519013e+00
1.92875236e+02,  5.35301919e+00,  1.24457001e+02,  9.73178014e+00,  2.75368816e+02,  6.01470945e+00,  4.29726137e+02,  1.36702060e+01,  1.20108311e+00,  4.16747199e+00,  1.07191584e-02,  4.17337660e+01,  1.09709091e+02,  1.14128225e+00
1.18269812e+02,  6.39754843e+00,  1.31116216e+02,  1.45923572e+01,  3.18436326e+02,  4.55329527e+00,  3.06980260e+02,  1.43871882e+01,  1.33308246e+00,  4.51523872e+00,  7.60102271e-03,  4.46305039e+01,  1.07545330e+02,  1.14031908e+00
1.47111674e+02,  7.75813126e+00,  1.10608579e+02,  9.32672822e+00,  2.66289332e+02,  4.82503558e+00,  3.41807576e+02,  1.26198786e+01,  1.72252562e+00,  4.59039831e+00,  8.71367549e-03,  4.55121415e+01,  1.04294616e+02,  1.13413885e+00
1.78590690e+02,  4.37053487e+00,  1.50005198e+02,  1.00428363e+01,  4.34210014e+02,  6.18111963e+00,  2.91314632e+02,  8.12074873e+00,  1.19777974e+00,  4.15068286e+00,  8.98971688e-03,  4.30433174e+01,  1.09748682e+02,  1.14123965e+00
1.24973110e+02,  6.78670898e+00,  1.45894936e+02,  1.06611324e+01,  2.60657711e+02,  5.34362997e+00,  3.14462089e+02,  1.07345318e+01,  1.31992096e+00,  4.54581145e+00,  7.78556201e-03,  4.47843302e+01,  1.07626742e+02,  1.13926600e+00
1.89698009e+02,  4.58079026e+00,  9.47902992e+01,  1.38752480e+01,  4.65806129e+02,  3.96500497e+00,  3.23314356e+02,  1.12043927e+01,  1.14348912e+00,  3.98955645e+00,  1.20494207e-02,  3.91020186e+01,  1.10930537e+02,  1.14789988e+00
1.05797318e+02,  4.24804727e+00,  1.13854996e+02,  1.42014184e+01,  4.49662717e+02,  5.97286712e+00,  3.84693161e+02,  8.55434555e+00,  1.20971668e+00,  4.73069679e+00,  4.53093532e-03,  4.86926150e+01,  1.08305861e+02,  1.13978627e+00
1.33168664e+02,  5.98380231e+00,  1.43527267e+02,  9.62860379e+00,  4.76134095e+02,  4.36811871e+00,  3.63855453e+02,  1.02266383e+01,  1.19824819e+00,  4.09066151e+00,  1.13631225e-02,  4.05135011e+01,  1.09972054e+02,  1.14425810e+00
1.21816261e+02,  7.39799974e+00,  1.32201457e+02,  1.02281270e+01,  3.39931046e+02,  5.40009403e+00,  2.92896582e+02,  1.38653725e+01,  1.55919051e+00,  4.54054718e+00,  8.03525387e-03,  4.56963617e+01,  1.05551778e+02,  1.13555205e+00
1.77307052e+02,  4.31882503e+00,  1.17064502e+02,  1.11413053e+01,  4.04181243e+02,  5.57625829e+00,  3.89792098e+02,  1.09803054e+01,  1.08831866e+00,  4.23474079e+00,  8.87862662e-03,  4.21915304e+01,  1.10898691e+02,  1.14459476e+00
1.41741930e+02,  6.15481783e+00,  1.06782274e+02,  1.13381325e+01,  4.34816146e+02,  4.12086694e+00,  4.61808429e+02,  1.31628788e+01,  1.24871168e+00,  4.18631809e+00,  1.15594460e-02,  4.05194291e+01,  1.09132859e+02,  1.14375102e+00
1.63000673e+02,  6.22985244e+00,  9.92438264e+01,  1.45622875e+01,  3.47839080e+02,  3.68375373e+00,  4.26386507e+02,  1.35280891e+01,  1.38145557e+00,  4.22750399e+00,  1.15561236e-02,  4.09591468e+01,  1.07637480e+02,  1.14208434e+00
1.44867259e+02,  4.91486045e+00,  1.04414227e+02,  1.48896850e+01,  4.61960223e+02,  5.67045338e+00,  5.02014922e+02,  1.33099803e+01,  1.41938282e+00,  4.43062989e+00,  7.55060095e-03,  4.54792422e+01,  1.06842313e+02,  1.13751653e+00
1.61083750e+02,  6.18661074e+00,  8.50320114e+01,  1.41393632e+01,  4.12383290e+02,  5.33280784e+00,  4.09506704e+02,  1.02908356e+01,  1.55627342e+00,  4.32986858e+00,  9.54842377e-03,  4.38782518e+01,  1.05856104e+02,  1.13693371e+00
1.33336263e+02,  6.06197612e+00,  1.48435916e+02,  1.40051933e+01,  4.73333740e+02,  5.59059052e+00,  3.48057238e+02,  1.03693214e+01,  1.67846521e+00,  4.29537253e+00,  8.70826688e-03,  4.56502720e+01,  1.04916430e+02,  1.13353887e+00
1.09546270e+02,  5.17482228e+00,  1.22532034e+02,  1.24308233e+01,  4.41566477e+02,  5.42644863e+00,  3.01745901e+02,  8.46415095e+00,  1.15102529e+00,  4.49599957e+00,  6.26947835e-03,  4.53886976e+01,  1.09468860e+02,  1.14256971e+00
1.16025115e+02,  4.45845974e+00,  9.99341716e+01,  1.22979897e+01,  4.82028790e+02,  4.19198610e+00,  3.76605778e+02,  1.20507252e+01,  8.92227825e-01,  4.31479145e+00,  7.71438577e-03,  4.12768831e+01,  1.13569367e+02,  1.15197300e+00
1.86253031e+02,  5.42467932e+00,  1.30273024e+02,  1.38687128e+01,  4.58890786e+02,  4.42115252e+00,  5.21396933e+02,  1.04841424e+01,  1.48000250e+00,  3.96874436e+00,  1.37920377e-02,  4.03728256e+01,  1.07156823e+02,  1.13918167e+00
1.74886865e+02,  7.64757497e+00,  8.29604194e+01,  1.51862308e+01,  3.83183787e+02,  4.80122413e+00,  3.25583013e+02,  8.08148787e+00,  2.19707070e+00,  4.38777279e+00,  1.01294795e-02,  4.57457213e+01,  1.01556200e+02,  1.12962236e+00
1.78914020e+02,  4.97607808e+00,  1.41598247e+02,  1.00250035e+01,  4.36067889e+02,  4.38989745e+00,  4.10440462e+02,  1.27021616e+01,  1.11913284e+00,  3.90324367e+00,  1.36989798e-02,  3.84935581e+01,  1.11559849e+02,  1.14668588e+00
1.67974713e+02,  7.49639782e+00,  8.67822525e+01,  1.02593304e+01,  2.76379754e+02,  6.56054520e+00,  4.47740052e+02,  1.35991667e+01,  1.88440283e+00,  4.49689798e+00,  9.22511070e-03,  4.63117788e+01,  1.03313031e+02,  1.13027123e+00
1.68993046e+02,  6.18784157e+00,  1.07396356e+02,  1.15291370e+01,  3.11278023e+02,  4.98769613e+00,  5.27475701e+02,  1.35425044e+01,  1.36673265e+00,  4.25531649e+00,  1.13209753e-02,  4.17557126e+01,  1.07723082e+02,  1.13977432e+00
1.80294571e+02,  7.47988828e+00,  9.82152905e+01,  1.46058435e+01,  3.85635709e+02,  6.68731081e+00,  3.50452016e+02,  1.39599267e+01,  2.40585576e+00,  4.38250137e+00,  9.56947705e-03,  4.77903181e+01,  1.00487548e+02,  1.12506430e+00
1.44630121e+02,  5.83781902e+00,  8.22836346e+01,  1.24326922e+01,  3.63837674e+02,  5.48890075e+00,  3.32611597e+02,  1.06948461e+01,  1.23490177e+00,  4.45623369e+00,  7.82085605e-03,  4.39046717e+01,  1.08648159e+02,  1.14203023e+00
1.43701440e+02,  5.77823633e+00,  1.19170378e+02,  1.00996063e+01,  2.79435746e+02,  5.66799376e+00,  3.01171922e+02,  1.27856428e+01,  1.09981847e+00,  4.42265596e+00,  7.96349297e-03,  4.33239886e+01,  1.10293427e+02,  1.14362808e+00
1.33764093e+02,  4.31121226e+00,  1.00321316e+02,  8.62957120e+00,  3.57773595e+02,  6.64025491e+00,  3.51171003e+02,  1.34875194e+01,  8.16430039e-01,  4.56461187e+00,  5.96957229e-03,  4.40414772e+01,  1.13936000e+02,  1.14851391e+00
1.45271931e+02,  5.71072445e+00,  8.22892641e+01,  1.40705669e+01,  3.74841642e+02,  5.54684278e+00,  5.17970577e+02,  1.44030587e+01,  1.33022114e+00,  4.48426507e+00,  8.19415742e-03,  4.42184204e+01,  1.07606905e+02,  1.13968991e+00
1.84721983e+02,  7.70636162e+00,  8.67977735e+01,  9.39778785e+00,  3.41339608e+02,  5.36742381e+00,  4.05912126e+02,  1.41768887e+01,  2.05271978e+00,  4.35236044e+00,  1.08946848e-02,  4.52351329e+01,  1.02389576e+02,  1.12942200e+00
1.78418276e+02,  7.45080000e+00,  1.36096583e+02,  1.18234211e+01,  4.43213311e+02,  3.86331951e+00,  3.52318455e+02,  9.18145990e+00,  2.02609631e+00,  4.14693211e+00,  1.28181197e-02,  4.32481159e+01,  1.02678302e+02,  1.13143252e+00
1.10329549e+02,  6.48827145e+00,  1.19032285e+02,  1.12067088e+01,  4.66791264e+02,  3.75142760e+00,  4.25732571e+02,  1.35406370e+01,  1.18365495e+00,  4.28144941e+00,  1.03738979e-02,  4.09089327e+01,  1.09648960e+02,  1.14533006e+00
